YR--MODAHRMN DIR SPD 
201701231553 010   3 
201701231555 010   3 
201701231557 010   3 
201701231616 020   6 
201701231653 ***   0 
201701231751 ***   0 
201701231753 330   3 
201701231853 990   5 
201701231953 ***   0 
201701232053 ***   0 
201701232153 220   5 
201701232253 280   5 
201701232353 ***   0 
201701240053 ***   0 
201701240153 ***   0 
201701240253 ***   0 
201701240353 ***   0 
201701240418 ***   0 
201701240435 ***   0 
201701240453 ***   0 
201701240553 ***   0 
201701240630 ***   0 
201701240637 ***   0 
201701240646 140   3 
201701240653 ***   0 
201701240657 ***   0 
201701240702 ***   0 
201701240706 ***   0 
201701240722 ***   0 
201701240753 130   3 
201701240759 *** *** 
201701240803 ***   0 
201701240853 ***   0 
201701240909 ***   0 
201701240953 ***   0 
201701241053 130   3 
201701241153 ***   0 
201701241253 ***   0 
201701241353 ***   0 
201701241453 ***   0 
201701241553 ***   0 
201701241653 ***   0 
201701241753 ***   0 
201701241853 ***   0 
201701241904 ***   0 
201701241953 ***   0 
201701242012 ***   0 
201701242051 ***   0 
201701242053 ***   0 
201701242151 ***   0 
201701242153 ***   0 
201701242205 ***   0 
201701242253 ***   0 
201701242353 ***   0 
201701250053 ***   0 
201701250153 ***   0 
201701250253 ***   0 
201701250353 ***   0 
201701250453 ***   0 
201701250553 040   5 
201701250653 ***   0 
201701250753 ***   0 
201701250759 *** *** 
201701250853 ***   0 
201701250948 ***   0 
201701250953 ***   0 
201701251053 ***   0 
201701251153 ***   0 
201701251253 ***   0 
201701251353 ***   0 
201701251453 ***   0 
201701251553 ***   0 
201701251653 ***   0 
201701251753 ***   0 
201701251853 ***   0 
201701251953 ***   0 
201701252053 ***   0 
201701252153 300   3 
201701252253 ***   0 
201701252353 ***   0 
201701260053 ***   0 
201701260153 ***   0 
201701260253 ***   0 
201701260353 ***   0 
201701260453 ***   0 
201701260553 ***   0 
201701260653 ***   0 
201701260753 310   3 
201701260759 *** *** 
201701260853 ***   0 
201701260953 ***   0 
201701261043 ***   0 
201701261051 ***   0 
201701261053 ***   0 
201701261105 ***   0 
201701261153 ***   0 
201701261248 ***   0 
201701261253 ***   0 
201701261301 ***   0 
201701261306 ***   0 
201701261311 ***   0 
201701261344 ***   0 
201701261353 ***   0 
201701261453 ***   0 
201701261553 ***   0 
201701261557 ***   0 
201701261653 ***   0 
201701261753 350   3 
201701261853 ***   0 
201701261953 ***   0 
201701262053 ***   0 
201701262153 ***   0 
201701262253 350   3 
201701262353 ***   0 
201701270053 ***   0 
201701270153 ***   0 
201701270253 ***   0 
201701270353 ***   0 
201701270453 ***   0 
201701270553 ***   0 
201701270653 ***   0 
201701270753 ***   0 
201701270759 *** *** 
201701270853 350   3 
201701270953 010   5 
201701271053 030   3 
201701271153 ***   0 
201701271253 350   3 
201701271353 ***   0 
201701271453 ***   0 
201701271553 ***   0 
201701271653 ***   0 
201701271753 350   3 
201701271853 030   3 
201701271953 ***   0 
201701272053 340   3 
201701272153 340   5 
201701272253 ***   0 
201701272353 010   5 
201701280053 990   3 
201701280153 010   5 
201701280253 010   5 
201701280353 ***   0 
201701280453 340   3 
201701280553 360   5 
201701280653 360   6 
201701280753 330   5 
201701280759 *** *** 
201701280853 ***   0 
201701280953 ***   0 
201701281053 ***   0 
201701281153 ***   0 
201701281253 290   3 
201701281353 ***   0 
201701281453 ***   0 
201701281553 ***   0 
201701281653 ***   0 
201701281753 300   5 
201701281853 030   5 
201701281953 ***   0 
201701282053 350   3 
201701282153 ***   0 
201701282253 010   3 
201701282353 010   3 
201701290053 330   3 
201701290153 330   3 
201701290253 360   5 
201701290353 010   3 
201701290453 360   5 
201701290553 350   7 
201701290653 ***   0 
201701290753 040   3 
201701290759 *** *** 
201701290853 290   3 
201701290953 ***   0 
201701291053 010   3 
201701291153 010   3 
201701291253 ***   0 
201701291353 030   3 
201701291453 ***   0 
201701291553 130  20 
201701291653 160  20 
201701291753 200   7 
201701291853 150  17 
201701291953 170  16 
201701292053 150  15 
201701292153 160  10 
201701292253 140  10 
201701292353 150  16 
201701300053 160  15 
201701300153 160  15 
201701300253 160  17 
201701300353 170  11 
201701300453 160  14 
201701300553 170  11 
201701300600 170  10 
201701300653 180   5 
201701300753 170   6 
201701300759 *** *** 
201701300827 230   3 
201701300853 180   5 
201701300904 200   5 
201701300953 200   3 
201701301039 ***   0 
201701301053 ***   0 
201701301057 ***   0 
201701301113 ***   0 
201701301120 ***   0 
201701301140 ***   0 
201701301146 ***   0 
201701301151 ***   0 
201701301153 ***   0 
201701301201 ***   0 
201701301205 ***   0 
201701301253 ***   0 
201701301310 280   3 
201701301353 ***   0 
201701301453 ***   0 
201701301534 ***   0 
201701301551 ***   0 
201701301553 ***   0 
201701301600 ***   0 
201701301653 ***   0 
201701301745 300   3 
201701301753 990   3 
201701301801 280   3 
201701301853 280   5 
201701301953 340   5 
201701302000 350   5 
201701302053 340   5 
201701302153 280   3 
201701302244 260   3 
201701302253 ***   0 
201701302345 ***   0 
201701302353 320   5 
201701310053 ***   0 
201701310153 310   6 
201701310253 300   8 
201701310353 310   6 
201701310453 310   5 
201701310553 340   3 
201701310653 300   5 
201701310753 310   7 
201701310759 *** *** 
201701310853 300   8 
201701310953 310   7 
201701311053 300   7 
201701311153 300   8 
201701311253 310   7 
201701311353 300  10 
201701311453 320   9 
201701311553 310  10 
201701311653 340  10 
201701311753 360  16 
201701311853 010  16 
201701311953 020  20 
201701312053 020  18 
201701312153 020  16 
201701312253 010  15 
201701312353 010  14 
201702010053 010  11 
201702010153 010  13 
201702010253 020  14 
201702010353 020  16 
201702010453 020  17 
201702010553 020  15 
201702010653 030  17 
201702010753 030  17 
201702010759 *** *** 
201702010759 *** *** 
201702010853 030  17 
201702010953 020  16 
201702011053 020  20 
201702011153 020  20 
201702011253 020  18 
201702011353 020  24 
201702011453 020  17 
201702011553 030  23 
201702011653 030  22 
201702011753 030  18 
201702011853 040  20 
201702011953 030  22 
201702012053 020  22 
201702012153 030  18 
201702012253 030  17 
201702012353 030  16 
201702020053 030  16 
201702020153 040  18 
201702020253 030  22 
201702020353 030  20 
201702020453 040  18 
201702020553 030  14 
201702020653 030  17 
201702020753 030  18 
201702020759 *** *** 
201702020853 040  13 
201702020953 030  14 
201702021053 030  15 
201702021153 040  14 
201702021253 030  17 
201702021353 030  16 
201702021453 030  15 
201702021553 040  16 
201702021653 030  15 
201702021753 030  21 
201702021853 020  17 
201702021953 040  13 
201702022053 040  17 
201702022153 020  16 
201702022253 030  11 
201702022353 030  13 
201702030053 020  14 
201702030153 030   8 
201702030253 020  10 
201702030353 020  10 
201702030453 030  10 
201702030553 ***   0 
201702030653 070   3 
201702030753 040  11 
201702030759 *** *** 
201702030853 990   3 
201702030953 300   5 
201702031053 010   5 
201702031153 350   7 
201702031253 350   7 
201702031353 060   3 
201702031433 070   5 
201702031448 020   3 
201702031453 ***   0 
201702031553 350   7 
201702031600 360   8 
201702031607 010  10 
201702031649 010  15 
201702031653 010  13 
201702031703 010  14 
201702031723 020  10 
201702031753 010  10 
201702031853 010   8 
201702031951 010   9 
201702031953 020  10 
201702032053 020  13 
201702032153 020  11 
201702032159 020  13 
201702032251 020   9 
201702032253 010   9 
201702032353 020  10 
201702040053 020   9 
201702040100 010  10 
201702040153 030  11 
201702040253 040  11 
201702040353 030  10 
201702040453 030  10 
201702040553 020  13 
201702040653 030  11 
201702040753 040  10 
201702040759 *** *** 
201702040853 030  13 
201702040953 020  11 
201702041019 020  13 
201702041053 020  13 
201702041102 030  15 
201702041153 020  11 
201702041250 020  15 
201702041253 020  15 
201702041325 020  10 
201702041345 010  10 
201702041353 030   9 
201702041401 020  11 
201702041449 010  11 
201702041453 020  13 
201702041505 010  11 
201702041553 010   9 
201702041604 010  10 
201702041636 030  17 
201702041653 020  15 
201702041656 020  14 
201702041753 020  11 
201702041757 020  11 
201702041810 020  11 
201702041853 020  11 
201702041906 020  11 
201702041953 020  15 
201702042000 020  13 
201702042053 030  14 
201702042153 020  14 
201702042236 020  15 
201702042253 030  13 
201702042353 030  13 
201702050053 030  11 
201702050153 030  13 
201702050253 040   9 
201702050353 040  11 
201702050453 990   5 
201702050551 990   6 
201702050553 990   8 
201702050615 190   3 
201702050653 ***   0 
201702050753 340   7 
201702050759 *** *** 
201702050831 360   6 
201702050838 010  10 
201702050853 ***   0 
201702050953 ***   0 
201702051024 360   3 
201702051040 ***   0 
201702051053 ***   0 
201702051142 360   6 
201702051153 360   6 
201702051200 350   3 
201702051217 340   6 
201702051253 360   5 
201702051353 360   6 
201702051427 020   6 
201702051436 020   8 
201702051453 020   3 
201702051500 020   5 
201702051527 020   6 
201702051553 010   6 
201702051614 010   7 
201702051620 010   6 
201702051625 010   6 
201702051634 020   8 
201702051637 020   8 
201702051646 020   8 
201702051651 020   8 
201702051653 020   9 
201702051715 020   7 
201702051732 020   8 
201702051744 020   9 
201702051747 020   9 
201702051753 020   8 
201702051814 020   8 
201702051839 020  10 
201702051850 020  11 
201702051853 020   8 
201702051953 020  11 
201702052000 030  10 
201702052007 020  10 
201702052014 020  11 
201702052045 020  13 
201702052051 020  10 
201702052053 020  11 
201702052108 020  15 
201702052116 020  11 
201702052149 020  11 
201702052153 020  11 
201702052214 020  13 
201702052228 020  13 
201702052235 020  14 
201702052253 020  14 
201702052353 020  10 
201702060053 010  13 
201702060153 030  14 
201702060251 030  18 
201702060253 020  20 
201702060353 030  22 
201702060451 020  25 
201702060453 030  24 
201702060553 020  25 
201702060600 020  22 
201702060611 020  24 
201702060625 020  24 
201702060653 020  25 
201702060703 010  26 
201702060713 010  24 
201702060753 020  25 
201702060759 *** *** 
201702060853 010  22 
201702060940 360  17 
201702060951 010  17 
201702060953 010  21 
201702061053 010  21 
201702061126 360  16 
201702061140 360  15 
201702061151 360  18 
201702061153 360  20 
201702061253 030  14 
201702061300 020  17 
201702061315 030  17 
201702061353 020  16 
201702061453 030  10 
201702061553 030  15 
201702061653 020   9 
201702061753 020  11 
201702061853 020  11 
201702061929 030  10 
201702061953 030  13 
201702062000 020  11 
201702062053 020  13 
201702062153 020  13 
201702062253 030   9 
201702062346 030   9 
201702062353 030   8 
201702070008 020  10 
201702070051 010   8 
201702070053 010   7 
201702070104 020   8 
201702070127 020  11 
201702070145 020  10 
201702070151 010   9 
201702070153 020  10 
201702070200 020   8 
201702070207 010  10 
201702070228 340   9 
201702070246 350   7 
201702070251 350  15 
201702070253 350  13 
201702070309 360  14 
201702070319 360  10 
201702070353 010  13 
201702070404 010  13 
201702070418 010  11 
201702070425 010  11 
201702070449 020  10 
201702070450 020   9 
201702070457 020  13 
201702070527 010   9 
201702070542 020  10 
201702070553 020  13 
201702070614 020  11 
201702070645 030  11 
201702070653 030  11 
201702070753 020  11 
201702070759 *** *** 
201702070800 020  11 
201702070815 020  14 
201702070825 020  11 
201702070839 030  10 
201702070842 030  11 
201702070851 020  11 
201702070853 020  14 
201702070903 030  11 
201702070910 030  14 
201702070946 020  11 
201702070953 020  14 
201702071051 010  13 
201702071053 020  13 
201702071107 020  11 
201702071153 020  13 
201702071221 030  11 
201702071238 020  13 
201702071253 020  14 
201702071346 020  14 
201702071353 020  14 
201702071453 020  15 
201702071553 020  16 
201702071653 020  20 
201702071753 020  16 
201702071853 020  15 
201702071953 020  17 
201702072053 020  17 
201702072153 010  15 
201702072253 010  11 
201702072353 360  11 
201702080053 360  11 
201702080153 020   8 
201702080242 360   8 
201702080251 350   7 
201702080253 350   8 
201702080353 360   3 
201702080453 020   6 
201702080553 020   7 
201702080653 030   7 
201702080753 020   7 
201702080759 *** *** 
201702080853 030   8 
201702080953 010  11 
201702081026 020  13 
201702081053 020  10 
201702081151 360   9 
201702081153 010   9 
201702081253 020   9 
201702081353 020  11 
201702081453 020  13 
201702081553 020  14 
201702081653 020  13 
201702081753 030  11 
201702081853 010   9 
201702081953 020  16 
201702082053 010  16 
201702082100 010  14 
201702082108 010  14 
201702082115 010  11 
201702082125 010  15 
201702082146 010  15 
201702082153 360  15 
201702082253 010  14 
201702082316 020  15 
201702082324 010  15 
201702082334 010  13 
201702082353 010  15 
201702090016 020  14 
201702090025 010  14 
201702090053 020  14 
201702090107 010  16 
201702090113 030  15 
201702090116 020  11 
201702090153 010  13 
201702090253 020  15 
201702090301 020  17 
201702090353 010  14 
201702090436 020  13 
201702090453 020  13 
201702090521 020  15 
201702090553 030  15 
201702090653 010   9 
201702090753 020  13 
201702090759 *** *** 
201702090812 020  11 
201702090853 020  10 
201702090920 020  11 
201702090929 010  10 
201702090953 030  11 
201702091023 020   9 
201702091053 350   8 
201702091153 360   9 
201702091253 360   7 
201702091331 020   8 
201702091353 350   3 
201702091409 350   8 
201702091453 010   8 
201702091500 010   8 
201702091526 010   9 
201702091538 010  10 
201702091553 360   8 
201702091614 360   9 
201702091651 020   9 
201702091653 020  10 
201702091702 010   9 
201702091732 020   9 
201702091741 350   8 
201702091753 350   9 
201702091808 360  10 
201702091827 010   6 
201702091842 340   6 
201702091853 ***   0 
201702091906 320   7 
201702091953 010   7 
201702092006 340   5 
201702092018 340   7 
201702092053 ***   0 
201702092106 990   5 
201702092153 160  16 
201702092253 180  10 
201702092351 990   9 
201702092353 190   7 
201702100053 990   3 
201702100153 150   5 
201702100247 ***   0 
201702100253 ***   0 
201702100302 190   5 
201702100306 220   3 
201702100353 180   9 
201702100453 150  17 
201702100551 160  15 
201702100553 160  16 
201702100653 160  18 
201702100753 160  13 
201702100759 *** *** 
201702100830 150  17 
201702100853 160  20 
201702100920 160  17 
201702100953 150  21 
201702101021 150  18 
201702101053 160  17 
201702101119 160  17 
201702101153 150  20 
201702101253 150  21 
201702101335 140  20 
201702101353 150  24 
201702101416 150  23 
201702101453 160  23 
201702101543 150  26 
201702101553 150  28 
201702101629 160  21 
201702101645 150  30 
201702101653 150  26 
201702101734 150  29 
201702101753 150  29 
201702101853 150  25 
201702101953 160  26 
201702102024 160  22 
201702102053 160  21 
201702102153 170  20 
201702102200 180  16 
201702102253 180  14 
201702102353 990  13 
201702110053 190  13 
201702110153 170   9 
201702110253 180   8 
201702110353 170   7 
201702110453 170   7 
201702110553 *** *** 
201702110653 *** *** 
201702110753 *** *** 
201702110759 *** *** 
201702110853 *** *** 
201702110953 *** *** 
201702111053 *** *** 
201702111153 170   8 
201702111205 170   8 
201702111249 170  10 
201702111253 160   8 
201702111353 160   8 
201702111453 170  10 
201702111553 170   9 
201702111653 160  10 
201702111753 170  11 
201702111853 170  11 
201702111953 160  13 
201702112053 160  10 
201702112153 170   9 
201702112253 170   9 
