#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 10 11 04 50 120  5.0   MM    MM    MM    MM  MM 1012.3  10.7    MM   5.4   MM   MM    MM
2017 10 11 03 40 130  3.0   MM    MM    MM    MM  MM 1011.7  11.1    MM   4.5   MM   MM    MM
2017 10 11 02 50 130  8.0   MM    MM    MM    MM  MM 1011.4  11.3    MM   4.8   MM   MM    MM
2017 10 11 01 50 130  5.0   MM    MM    MM    MM  MM 1011.4  11.9    MM   4.7   MM   MM    MM
2017 10 11 00 50 130  5.0   MM    MM    MM    MM  MM 1011.1  12.4    MM   4.9   MM   MM    MM
2017 10 10 23 50 130  3.0   MM    MM    MM    MM  MM 1011.1  12.6    MM   7.0   MM   MM    MM
2017 10 10 22 50 140  3.0   MM    MM    MM    MM  MM 1010.9  12.4    MM   6.3   MM   MM    MM
2017 10 10 21 50 210  4.0   MM    MM    MM    MM  MM 1010.8  12.7    MM   6.2   MM   MM    MM
2017 10 10 20 50 230  6.0   MM    MM    MM    MM  MM 1011.3  11.7    MM   7.3   MM   MM    MM
2017 10 10 19 50 300  6.0   MM    MM    MM    MM  MM 1012.0  11.1    MM   8.4   MM   MM    MM
2017 10 10 18 50 100  7.0   MM    MM    MM    MM  MM 1010.6  10.3    MM   9.1   MM   MM    MM
2017 10 10 17 50 300  1.0   MM    MM    MM    MM  MM 1010.3  10.6    MM   8.5   MM   MM    MM
2017 10 10 16 50 220 10.0   MM    MM    MM    MM  MM 1008.9  10.8    MM   9.0   MM   MM    MM
2017 10 10 15 50 190  5.0   MM    MM    MM    MM  MM 1008.9  10.4    MM   8.5   MM   MM    MM
2017 10 10 14 50 120 10.0   MM    MM    MM    MM  MM 1008.7  10.1    MM   8.8   MM   MM    MM
2017 10 10 13 50 110  7.0   MM    MM    MM    MM  MM 1009.2  10.0    MM   9.1   MM   MM    MM
2017 10 10 12 40 220  6.0   MM    MM    MM    MM  MM 1009.7  10.0    MM   9.0   MM   MM    MM
2017 10 10 11 50  60  5.0   MM    MM    MM    MM  MM 1010.1  10.1    MM   9.1   MM   MM    MM
2017 10 10 10 50  MM  0.0   MM    MM    MM    MM  MM 1010.8   8.7    MM   8.0   MM   MM    MM
2017 10 10 09 50 320  1.0   MM    MM    MM    MM  MM 1011.6   8.7    MM   7.8   MM   MM    MM
2017 10 10 08 50 240  1.0   MM    MM    MM    MM  MM 1012.2   8.9    MM   7.9   MM   MM    MM
2017 10 10 07 50 250  1.0   MM    MM    MM    MM  MM 1013.3   9.4    MM   8.3   MM   MM    MM
2017 10 10 06 50 240  2.0   MM    MM    MM    MM  MM 1014.0   9.5    MM   8.5   MM   MM    MM
2017 10 10 05 50  10  1.0   MM    MM    MM    MM  MM 1014.8  10.1    MM   9.0   MM   MM    MM
2017 10 10 04 50 190  1.0   MM    MM    MM    MM  MM 1015.6  10.1    MM   8.8   MM   MM    MM
2017 10 10 03 50  40  3.0   MM    MM    MM    MM  MM 1016.3  11.5    MM   9.2   MM   MM    MM
2017 10 10 02 50 180  3.0   MM    MM    MM    MM  MM 1017.1  11.9    MM   9.1   MM   MM    MM
2017 10 10 01 50 220  2.0   MM    MM    MM    MM  MM 1017.8  12.1    MM   8.5   MM   MM    MM
2017 10 10 00 50 230  2.0   MM    MM    MM    MM  MM 1018.5  13.1    MM   9.6   MM   MM    MM
2017 10 09 23 50 260  2.0   MM    MM    MM    MM  MM 1019.5  13.4    MM   9.2   MM   MM    MM
2017 10 09 22 50 210  2.0   MM    MM    MM    MM  MM 1020.7  13.6    MM   8.4   MM   MM    MM
2017 10 09 21 50 150  2.0   MM    MM    MM    MM  MM 1021.5  13.0    MM   7.6   MM   MM    MM
2017 10 09 20 50 220  1.0   MM    MM    MM    MM  MM 1022.5  12.0    MM   6.5   MM   MM    MM
2017 10 09 19 50 200  1.0   MM    MM    MM    MM  MM 1023.4  11.2    MM   8.0   MM   MM    MM
2017 10 09 18 50  MM  0.0   MM    MM    MM    MM  MM 1024.2  11.9    MM   8.4   MM   MM    MM
2017 10 09 17 50 220  1.0   MM    MM    MM    MM  MM 1025.0   9.3    MM   7.7   MM   MM    MM
2017 10 09 16 50 290  2.0   MM    MM    MM    MM  MM 1025.2   8.3    MM   7.1   MM   MM    MM
2017 10 09 15 50 350  2.0   MM    MM    MM    MM  MM 1025.1   8.6    MM   7.6   MM   MM    MM
2017 10 09 14 50 160  1.0   MM    MM    MM    MM  MM 1025.4   8.8    MM   7.3   MM   MM    MM
2017 10 09 13 50 220  2.0   MM    MM    MM    MM  MM 1026.2   8.9    MM   7.3   MM   MM    MM
2017 10 09 12 50 130  3.0   MM    MM    MM    MM  MM 1026.5   8.8    MM   7.2   MM   MM    MM
2017 10 09 11 50 220  5.0   MM    MM    MM    MM  MM 1026.5   9.4    MM   7.7   MM   MM    MM
2017 10 09 10 50 220  5.0   MM    MM    MM    MM  MM 1026.6   9.5    MM   7.8   MM   MM    MM
2017 10 09 09 50 260  3.0   MM    MM    MM    MM  MM 1027.2  10.1    MM   8.3   MM   MM    MM
2017 10 09 08 50 120  4.0   MM    MM    MM    MM  MM 1027.3  10.3    MM   8.3   MM   MM    MM
2017 10 09 07 50 120  3.0   MM    MM    MM    MM  MM 1027.3  10.9    MM   9.1   MM   MM    MM
2017 10 09 06 50 350  1.0   MM    MM    MM    MM  MM 1027.3  10.6    MM   8.5   MM   MM    MM
2017 10 09 05 50 310  2.0   MM    MM    MM    MM  MM 1027.0  11.1    MM   8.5   MM   MM    MM
2017 10 09 04 50  30  2.0   MM    MM    MM    MM  MM 1027.0  11.3    MM   8.6   MM   MM    MM
2017 10 09 03 50 230  3.0   MM    MM    MM    MM  MM 1026.3  10.8    MM   8.7   MM   MM    MM
2017 10 09 02 50  70  1.0   MM    MM    MM    MM  MM 1025.8  11.8    MM   9.5   MM   MM    MM
2017 10 09 01 50  MM  0.0   MM    MM    MM    MM  MM 1025.9  12.1    MM   8.9   MM   MM    MM
2017 10 09 00 50  MM  0.0   MM    MM    MM    MM  MM 1026.0  13.3    MM   7.5   MM   MM    MM
2017 10 08 23 50 280  3.0   MM    MM    MM    MM  MM 1026.2  12.6    MM   8.1   MM   MM    MM
2017 10 08 22 50 240  2.0   MM    MM    MM    MM  MM 1025.7  12.7    MM   8.3   MM   MM    MM
